exchange,time,return_cum_weight,return_weight,return_cum_month_weight,return_cum_year_weight,return20,return30,return40,return50,return60,return70,return80,return90,return100,return120,return140,return160,return180,return200,return10
HSX,2017-10-16,0.00017934207246819906,-2.854804344320973e-07,5.7183991550209e-06,5.830224947765047e-05,3.511051030875269e-07,4.321002135478061e-07,4.7337306948679833e-07,2.816552114461129e-07,3.749357294455824e-07,2.74065598125195e-07,2.6917264201123464e-07,3.1090937821494265e-07,3.229132465516863e-07,3.7698368507735577e-07,3.122116127412273e-07,2.9188781329410663e-07,2.8765718476745396e-07,3.016018781219863e-07,6.383931338312261e-07
HSX,2017-10-17,0.00018433213290711787,2.9512530237699305e-06,8.730184522365279e-06,6.190562835942047e-05,5.235220473940347e-07,5.006294539853598e-07,5.514338153842108e-07,3.1912695374378713e-07,4.3275964460400617e-07,3.527955780016576e-07,2.92910240141547e-07,3.450255659453542e-07,3.448852234188533e-07,3.88179359677484e-07,3.3133364556975124e-07,3.117528380822872e-07,2.947351021479495e-07,3.131354598150554e-07,1.0617516772000005e-06
HSX,2017-10-18,0.0001829286487296408,-6.591998140493656e-07,8.052138977728889e-06,6.110008429030509e-05,4.969153049098947e-07,4.6890718679329764e-07,5.856913627589921e-07,3.176088581190477e-07,3.8492669221654705e-07,3.3314036434507463e-07,3.0088222432588433e-07,3.230431270046171e-07,3.6078024265329635e-07,3.808473077894612e-07,3.2074880361318325e-07,3.1012801447569707e-07,2.826120863418412e-07,3.1110277788864666e-07,7.348290067733592e-07
HSX,2017-10-19,0.00018250388949600944,-2.940177554492246e-07,7.686268380023064e-06,6.061432769628422e-05,4.991030432121804e-07,4.2802279038836106e-07,5.446715617524837e-07,4.037264162319495e-07,3.446613992079435e-07,3.127138745722421e-07,2.9016281673257513e-07,3.044442213458799e-07,3.5782214770668103e-07,3.7156665263654967e-07,3.224406871864682e-07,3.0019874999818356e-07,2.849483505414966e-07,3.0829763204573603e-07,7.229070921505784e-07
HSX,2017-10-20,0.00018010977788910767,-1.12336024199718e-06,6.500581203044512e-06,5.9007987151840304e-05,4.10154717859436e-07,3.547386858725743e-07,4.844764502416761e-07,3.810584141911518e-07,3.355577153724986e-07,2.8051268928336214e-07,2.6626315593229906e-07,2.8841426347826236e-07,3.3465648258382366e-07,3.536221600153047e-07,3.1241781210714167e-07,2.912620765895404e-07,2.7966258251322806e-07,3.028844857729027e-07,5.249231465114246e-07
HSX,2017-10-23,0.00017549604032818014,-2.7322943942634034e-06,3.621767783364005e-06,5.5577466894769517e-05,2.6122916400383124e-07,3.0515907104932027e-07,4.0206389907173824e-07,3.302237531693296e-07,2.636201888741664e-07,2.4315198298175464e-07,2.1770071938812073e-07,2.4923861359282843e-07,3.0758959232718227e-07,3.3408865306208697e-07,2.895086768902393e-07,2.745172127785681e-07,2.622405900333227e-07,2.791813211999952e-07,1.9753082432184506e-07
HSX,2017-10-24,0.000177564903047034,1.0309713318155464e-06,4.597038188842575e-06,5.681396476473312e-05,2.972742378949848e-07,2.953917134286293e-07,3.937922027618203e-07,3.199836771719109e-07,2.4513388760185946e-07,2.933193347575579e-07,2.197069944186805e-07,2.3948863013540514e-07,3.0363445970125535e-07,3.4267774134165953e-07,2.994653618812024e-07,2.7901844803727744e-07,2.674575161554548e-07,2.746702416654796e-07,2.5502965276288047e-07
HSX,2017-10-25,0.00017979950890349448,1.3905471269961814e-06,5.992004036504697e-06,5.845035561220453e-05,3.5213540272073454e-07,3.16007819432831e-07,4.4680643764571726e-07,3.772393858977207e-07,2.5476560302084e-07,3.171988282698378e-07,2.4713526446146874e-07,2.469384084026393e-07,2.945727793761153e-07,3.4420408590775565e-07,3.019197460882266e-07,2.8880110672897136e-07,2.767795878181296e-07,2.7571901677522315e-07,2.734866701191559e-07
HSX,2017-10-26,0.00017840403702431862,-8.635882936548537e-07,5.100554470807645e-06,5.733766173435286e-05,2.90942357301686e-07,2.5400124939616885e-07,3.866163677053808e-07,3.450910887164837e-07,2.428318233390214e-07,2.930982452634771e-07,2.249536312226275e-07,2.406063071340174e-07,2.7695959548345843e-07,3.318026748194581e-07,2.9230992289481035e-07,2.8917167622003203e-07,2.6378418360505816e-07,2.691687077811782e-07,9.087132182548715e-08
HSX,2017-10-27,0.00018243959664047314,2.321359092812056e-06,7.412887739622821e-06,6.024726562581052e-05,4.020686865440007e-07,3.2623583868531083e-07,4.118661666219454e-07,4.267056032020714e-07,2.72802801239352e-07,3.2766753946196784e-07,2.4075606326105005e-07,2.693111013792447e-07,3.0282156906275644e-07,3.4798030395068025e-07,3.0682164001313844e-07,3.072373425477524e-07,2.7261013390675894e-07,2.761401325110329e-07,1.7361896415475847e-07
HSX,2017-10-30,0.00018282471177306754,4.883467044401962e-07,7.963814960727969e-06,6.085453702324255e-05,4.446974059366076e-07,3.177372947390139e-07,3.868255796713517e-07,4.288987911978364e-07,2.765462892120921e-07,3.572308649593547e-07,2.711826081147941e-07,2.6715364601465176e-07,3.049186081976472e-07,3.501744149330856e-07,3.204031899756669e-07,3.0447554558593533e-07,2.7696235352313837e-07,2.8068209887727185e-07,2.510016780419878e-07
HSX,2017-10-31,0.0001799586172778318,-1.7026815275330033e-06,6.2166311656999865e-06,5.874074506519363e-05,4.2367995005584813e-07,2.77550772566588e-07,3.2187414621694373e-07,3.9826869688970775e-07,2.302071652717717e-07,3.403094415051046e-07,2.818971586154122e-07,2.365433493382302e-07,2.890838316419883e-07,3.32904973551802e-07,3.0908716779646086e-07,2.983381795350301e-07,2.59923191719819e-07,2.647931169877063e-07,-2.1439177708830558e-07
HSX,2017-11-01,0.00018098371207365827,6.698784813428649e-07,6.328927561607144e-07,5.953579000213173e-05,3.2667252961213897e-07,3.041155540902357e-07,3.313094032077028e-07,4.5225630069737734e-07,2.510933905076927e-07,3.182966008214572e-07,2.8131232535830503e-07,2.583970941175548e-07,2.825904195492471e-07,3.389193471956545e-07,3.2480794374541786e-07,2.9680498853889004e-07,2.684251825785754e-07,2.702656106057259e-07,-8.148394754908253e-08
HSX,2017-11-02,0.00017744513855995667,-2.0789700978978284e-06,-1.5128058308880807e-06,5.6739966336720183e-05,2.3146395517831842e-07,2.4607563487680603e-07,2.5602229734278524e-07,3.837414130431985e-07,2.931088165609675e-07,2.582841733505312e-07,2.41127242526469e-07,2.290359280074066e-07,2.4800188103189766e-07,3.1612457127545026e-07,3.2168700669384874e-07,2.8634568717262504e-07,2.5792784445688983e-07,2.628771477534195e-07,-2.5997918179394296e-07
HSX,2017-11-03,0.00018220551830512756,2.7122598926261696e-06,1.0348725606023014e-06,5.9926258141815156e-05,3.2425298908990895e-07,3.1463075579575473e-07,2.9694972232152886e-07,4.1229772652701947e-07,3.3814581710402514e-07,3.052755891290549e-07,2.608964570814909e-07,2.504097865696429e-07,2.719311202972754e-07,3.3954091341723754e-07,3.3058958845844884e-07,2.921383234670591e-07,2.66400972084222e-07,2.84903357160628e-07,1.2358283166839206e-07
HSX,2017-11-06,0.00018664704894700228,2.22795149317924e-06,3.2584984141782723e-06,6.274025393938941e-05,4.085691223672514e-07,3.80688582806773e-07,3.8377115839015446e-07,4.45572603339922e-07,3.7845436437655083e-07,3.144755076653794e-07,2.9020891266061733e-07,2.6235701950195814e-07,2.8627549427481127e-07,3.4227816882917923e-07,3.421358622027205e-07,3.0337057808283196e-07,2.7100884842375226e-07,2.8638546200330847e-07,6.196074204126563e-07
HSX,2017-11-07,0.00018723413370459627,4.5498298045216336e-07,3.704346964061079e-06,6.329838592578199e-05,4.085191190196e-07,3.855190203554293e-07,3.6204593139055164e-07,4.2743547926472e-07,3.6032116185597874e-07,2.904017015553537e-07,3.269054910724029e-07,2.5774050451397367e-07,2.7174062564949646e-07,3.177612023748916e-07,3.5399475576329606e-07,3.119310717059361e-07,2.7479625228111373e-07,2.9188283742985224e-07,5.62008585276318e-07
